,date,calls
675,2018-02-05,7548
676,2018-02-06,7416
677,2018-02-07,6960
678,2018-02-08,7962
679,2018-02-09,8310
680,2018-02-10,8010
681,2018-02-11,6606
682,2018-02-12,6576
683,2018-02-13,7410
684,2018-02-14,7038
685,2018-02-15,7176
686,2018-02-16,5868
687,2018-02-17,7788
688,2018-02-18,7284
689,2018-02-19,8076
690,2018-02-20,6678
691,2018-02-21,8784
692,2018-02-22,5958
693,2018-02-23,8634
694,2018-02-24,5868
695,2018-02-25,5634
696,2018-02-26,6066
697,2018-02-27,8544
698,2018-02-28,8880
699,2018-03-01,10152
700,2018-03-02,8802
701,2018-03-03,7980
702,2018-03-04,7752
703,2018-03-05,9588
704,2018-03-06,8406
705,2018-03-07,9462
706,2018-03-08,7368
707,2018-03-09,7782
708,2018-03-10,8196
709,2018-03-11,7704
710,2018-03-12,9072
711,2018-03-13,9480
712,2018-03-14,7134
713,2018-03-15,9306
714,2018-03-16,7602
715,2018-03-17,7932
716,2018-03-18,7920
717,2018-03-19,8646
718,2018-03-20,6708
719,2018-03-21,8166
720,2018-03-22,7116
721,2018-03-23,7290
722,2018-03-24,6612
723,2018-03-25,7248
724,2018-03-26,7680
725,2018-03-27,7470
726,2018-03-28,6876
727,2018-03-29,8190
728,2018-03-30,8526
729,2018-03-31,8010
730,2018-04-01,9522
731,2018-04-02,9642
732,2018-04-03,9048
733,2018-04-04,10566
734,2018-04-05,7932
735,2018-04-06,9654
736,2018-04-07,8202
737,2018-04-08,8268
738,2018-04-09,9438
739,2018-04-10,8580
740,2018-04-11,7686
741,2018-04-12,10080
742,2018-04-13,8454
743,2018-04-14,8490
744,2018-04-15,7782
745,2018-04-16,8160
746,2018-04-17,10068
747,2018-04-18,8352
748,2018-04-19,7080
749,2018-04-20,9534
750,2018-04-21,9288
751,2018-04-22,8760
752,2018-04-23,8136
753,2018-04-24,8412
754,2018-04-25,9174
755,2018-04-26,9522
756,2018-04-27,8220
757,2018-04-28,8178
758,2018-04-29,8412
759,2018-04-30,9504
760,2018-05-01,9714
761,2018-05-02,8880
762,2018-05-03,8652
763,2018-05-04,9078
764,2018-05-05,9642
765,2018-05-06,9882
766,2018-05-07,10320
767,2018-05-08,9078
768,2018-05-09,8358
769,2018-05-10,8562
770,2018-05-11,8268
771,2018-05-12,9432
772,2018-05-13,8190
773,2018-05-14,8244
774,2018-05-15,7992
775,2018-05-16,9480
776,2018-05-17,7518
777,2018-05-18,9942
778,2018-05-19,6822
779,2018-05-20,8460
780,2018-05-21,9654
781,2018-05-22,8442
782,2018-05-23,7422
783,2018-05-24,8814
784,2018-05-25,7572
785,2018-05-26,8136
786,2018-05-27,7428
787,2018-05-28,8862
788,2018-05-29,8226
789,2018-05-30,8064
790,2018-05-31,7392
791,2018-06-01,10752
792,2018-06-02,8766
793,2018-06-03,9834
794,2018-06-04,11370
795,2018-06-05,10020
796,2018-06-06,9180
797,2018-06-07,8718
798,2018-06-08,8208
799,2018-06-09,9318
800,2018-06-10,7068
801,2018-06-11,9012
802,2018-06-12,10380
803,2018-06-13,10638
804,2018-06-14,8826
805,2018-06-15,8994
806,2018-06-16,8196
807,2018-06-17,7488
808,2018-06-18,8382
809,2018-06-19,10452
810,2018-06-20,9060
811,2018-06-21,7902
812,2018-06-22,7356
813,2018-06-23,9600
814,2018-06-24,8148
815,2018-06-25,10122
816,2018-06-26,9948
817,2018-06-27,8070
818,2018-06-28,9588
819,2018-06-29,9510
820,2018-06-30,7692
821,2018-07-01,9240
822,2018-07-02,10416
823,2018-07-03,8694
824,2018-07-04,8844
825,2018-07-05,8544
826,2018-07-06,9462
827,2018-07-07,9420
828,2018-07-08,8418
829,2018-07-09,9336
830,2018-07-10,9768
831,2018-07-11,9348
832,2018-07-12,10572
833,2018-07-13,9300
834,2018-07-14,10050
835,2018-07-15,8742
836,2018-07-16,9960
837,2018-07-17,9210
838,2018-07-18,9354
839,2018-07-19,9378
840,2018-07-20,7740
841,2018-07-21,8550
842,2018-07-22,6978
843,2018-07-23,8148
844,2018-07-24,9396
845,2018-07-25,8586
846,2018-07-26,8322
847,2018-07-27,7872
848,2018-07-28,7110
849,2018-07-29,8376
850,2018-07-30,8442
851,2018-07-31,8394
852,2018-08-01,9114
853,2018-08-02,9024
854,2018-08-03,9780
855,2018-08-04,8946
856,2018-08-05,9054
857,2018-08-06,8322
858,2018-08-07,9108
859,2018-08-08,8676
860,2018-08-09,7926
861,2018-08-10,8406
862,2018-08-11,7692
863,2018-08-12,8070
864,2018-08-13,8016
865,2018-08-14,10146
866,2018-08-15,8304
867,2018-08-16,9648
868,2018-08-17,7842
869,2018-08-18,7470
870,2018-08-19,9228
871,2018-08-20,8304
872,2018-08-21,9996
873,2018-08-22,9354
874,2018-08-23,9786
875,2018-08-24,9072
876,2018-08-25,9558
877,2018-08-26,8712
878,2018-08-27,9138
879,2018-08-28,8652
880,2018-08-29,8064
881,2018-08-30,8244
882,2018-08-31,9780
883,2018-09-01,10644
884,2018-09-02,10002
885,2018-09-03,10656
886,2018-09-04,9270
887,2018-09-05,10752
888,2018-09-06,9966
889,2018-09-07,9336
890,2018-09-08,8970
891,2018-09-09,8622
892,2018-09-10,7896
893,2018-09-11,9504
894,2018-09-12,9606
895,2018-09-13,8010
896,2018-09-14,7662
897,2018-09-15,7746
898,2018-09-16,9120
899,2018-09-17,7680
900,2018-09-18,8892
901,2018-09-19,8040
902,2018-09-20,8784
903,2018-09-21,9108
904,2018-09-22,9438
905,2018-09-23,6420
906,2018-09-24,8700
907,2018-09-25,9228
908,2018-09-26,8364
909,2018-09-27,7800
910,2018-09-28,7278
911,2018-09-29,7224
912,2018-09-30,7734
913,2018-10-01,9456
914,2018-10-02,9036
915,2018-10-03,8592
916,2018-10-04,10188
917,2018-10-05,8964
918,2018-10-06,7764
919,2018-10-07,7518
920,2018-10-08,9990
921,2018-10-09,9870
922,2018-10-10,7896
923,2018-10-11,7302
924,2018-10-12,7506
925,2018-10-13,9318
926,2018-10-14,8124
927,2018-10-15,7194
928,2018-10-16,9300
929,2018-10-17,9834
930,2018-10-18,8874
931,2018-10-19,6852
932,2018-10-20,6816
933,2018-10-21,8832
934,2018-10-22,7968
935,2018-10-23,9468
936,2018-10-24,7074
937,2018-10-25,7512
938,2018-10-26,7092
939,2018-10-27,8766
940,2018-10-28,7710
941,2018-10-29,7662
942,2018-10-30,7164
943,2018-10-31,8502
944,2018-11-01,9174
945,2018-11-02,10140
946,2018-11-03,7806
947,2018-11-04,9168
948,2018-11-05,7752
949,2018-11-06,9132
950,2018-11-07,7638
951,2018-11-08,7188
952,2018-11-09,7722
953,2018-11-10,9150
954,2018-11-11,8880
955,2018-11-12,7614
956,2018-11-13,8322
957,2018-11-14,7614
958,2018-11-15,7146
959,2018-11-16,6558
960,2018-11-17,6882
961,2018-11-18,8610
962,2018-11-19,9120
963,2018-11-20,7200
964,2018-11-21,8034
965,2018-11-22,9060
966,2018-11-23,6690
967,2018-11-24,7812
968,2018-11-25,7740
969,2018-11-26,8046
970,2018-11-27,6810
971,2018-11-28,8598
972,2018-11-29,7716
973,2018-11-30,7518
974,2018-12-01,9678
975,2018-12-02,7812
976,2018-12-03,9486
977,2018-12-04,7896
978,2018-12-05,8076
979,2018-12-06,8220
980,2018-12-07,8268
981,2018-12-08,8292
982,2018-12-09,6024
983,2018-12-10,8616
984,2018-12-11,6942
985,2018-12-12,6516
986,2018-12-13,8010
987,2018-12-14,6552
988,2018-12-15,6102
989,2018-12-16,5850
990,2018-12-17,8532
991,2018-12-18,8238
992,2018-12-19,8982
993,2018-12-20,7620
994,2018-12-21,5844
995,2018-12-22,5904
996,2018-12-23,6684
997,2018-12-24,7392
998,2018-12-25,7008
999,2018-12-26,6744
