date,calls
2017-12-26,5814
2017-12-27,6558
2017-12-28,6978
2017-12-29,7494
2017-12-30,6432
2017-12-31,4908
2018-01-01,9006
2018-01-02,7224
2018-01-03,6480
2018-01-04,6756
2018-01-05,8436
2018-01-06,7506
2018-01-07,7476
2018-01-08,8412
2018-01-09,8202
2018-01-10,8460
2018-01-11,6834
2018-01-12,7374
2018-01-13,6642
2018-01-14,6756
2018-01-15,6804
2018-01-16,8040
2018-01-17,5742
2018-01-18,8034
2018-01-19,8088
2018-01-20,5808
2018-01-21,6864
2018-01-22,5514
2018-01-23,5838
2018-01-24,6486
2018-01-25,5334
2018-01-26,6618
2018-01-27,6864
2018-01-28,6390
2018-01-29,7416
2018-01-30,5484
2018-01-31,6438
2018-02-01,8400
2018-02-02,7938
2018-02-03,8616
2018-02-04,7686
2018-02-05,7548
2018-02-06,7416
2018-02-07,6960
2018-02-08,7962
2018-02-09,8310
2018-02-10,8010
2018-02-11,6606
2018-02-12,6576
2018-02-13,7410
2018-02-14,7038
2018-02-15,7176
2018-02-16,5868
2018-02-17,7788
2018-02-18,7284
2018-02-19,8076
2018-02-20,6678
2018-02-21,8784
2018-02-22,5958
2018-02-23,8634
2018-02-24,5868
2018-02-25,5634
2018-02-26,6066
2018-02-27,8544
2018-02-28,8880
2018-03-01,10152
2018-03-02,8802
2018-03-03,7980
2018-03-04,7752
2018-03-05,9588
2018-03-06,8406
2018-03-07,9462
2018-03-08,7368
2018-03-09,7782
2018-03-10,8196
2018-03-11,7704
2018-03-12,9072
2018-03-13,9480
2018-03-14,7134
2018-03-15,9306
2018-03-16,7602
2018-03-17,7932
2018-03-18,7920
2018-03-19,8646
2018-03-20,6708
2018-03-21,8166
2018-03-22,7116
2018-03-23,7290
2018-03-24,6612
2018-03-25,7248
2018-03-26,7680
2018-03-27,7470
2018-03-28,6876
2018-03-29,8190
2018-03-30,8526
2018-03-31,8010
2018-04-01,9522
2018-04-02,9642
2018-04-03,9048
2018-04-04,10566
2018-04-05,7932
2018-04-06,9654
2018-04-07,8202
2018-04-08,8268
2018-04-09,9438
2018-04-10,8580
2018-04-11,7686
2018-04-12,10080
2018-04-13,8454
2018-04-14,8490
2018-04-15,7782
2018-04-16,8160
2018-04-17,10068
2018-04-18,8352
2018-04-19,7080
2018-04-20,9534
2018-04-21,9288
2018-04-22,8760
2018-04-23,8136
2018-04-24,8412
2018-04-25,9174
2018-04-26,9522
2018-04-27,8220
2018-04-28,8178
2018-04-29,8412
2018-04-30,9504
2018-05-01,9714
2018-05-02,8880
2018-05-03,8652
2018-05-04,9078
2018-05-05,9642
2018-05-06,9882
2018-05-07,10320
2018-05-08,9078
2018-05-09,8358
2018-05-10,8562
2018-05-11,8268
2018-05-12,9432
2018-05-13,8190
2018-05-14,8244
2018-05-15,7992
2018-05-16,9480
2018-05-17,7518
2018-05-18,9942
2018-05-19,6822
2018-05-20,8460
2018-05-21,9654
2018-05-22,8442
2018-05-23,7422
2018-05-24,8814
2018-05-25,7572
2018-05-26,8136
2018-05-27,7428
2018-05-28,8862
2018-05-29,8226
2018-05-30,8064
2018-05-31,7392
2018-06-01,10752
2018-06-02,8766
2018-06-03,9834
2018-06-04,11370
2018-06-05,10020
2018-06-06,9180
2018-06-07,8718
2018-06-08,8208
2018-06-09,9318
2018-06-10,7068
2018-06-11,9012
2018-06-12,10380
2018-06-13,10638
2018-06-14,8826
2018-06-15,8994
2018-06-16,8196
2018-06-17,7488
2018-06-18,8382
2018-06-19,10452
2018-06-20,9060
2018-06-21,7902
2018-06-22,7356
2018-06-23,9600
2018-06-24,8148
2018-06-25,10122
2018-06-26,9948
2018-06-27,8070
2018-06-28,9588
2018-06-29,9510
2018-06-30,7692
2018-07-01,9240
2018-07-02,10416
2018-07-03,8694
2018-07-04,8844
2018-07-05,8544
2018-07-06,9462
2018-07-07,9420
2018-07-08,8418
2018-07-09,9336
2018-07-10,9768
2018-07-11,9348
2018-07-12,10572
2018-07-13,9300
2018-07-14,10050
2018-07-15,8742
2018-07-16,9960
2018-07-17,9210
2018-07-18,9354
2018-07-19,9378
2018-07-20,7740
2018-07-21,8550
2018-07-22,6978
2018-07-23,8148
2018-07-24,9396
2018-07-25,8586
2018-07-26,8322
2018-07-27,7872
2018-07-28,7110
2018-07-29,8376
2018-07-30,8442
2018-07-31,8394
2018-08-01,9114
2018-08-02,9024
2018-08-03,9780
2018-08-04,8946
2018-08-05,9054
2018-08-06,8322
2018-08-07,9108
2018-08-08,8676
2018-08-09,7926
2018-08-10,8406
2018-08-11,7692
2018-08-12,8070
2018-08-13,8016
2018-08-14,10146
2018-08-15,8304
2018-08-16,9648
2018-08-17,7842
2018-08-18,7470
2018-08-19,9228
2018-08-20,8304
2018-08-21,9996
2018-08-22,9354
2018-08-23,9786
2018-08-24,9072
2018-08-25,9558
2018-08-26,8712
2018-08-27,9138
2018-08-28,8652
2018-08-29,8064
2018-08-30,8244
2018-08-31,9780
2018-09-01,10644
2018-09-02,10002
2018-09-03,10656
2018-09-04,9270
2018-09-05,10752
2018-09-06,9966
2018-09-07,9336
2018-09-08,8970
2018-09-09,8622
2018-09-10,7896
2018-09-11,9504
2018-09-12,9606
2018-09-13,8010
2018-09-14,7662
2018-09-15,7746
2018-09-16,9120
2018-09-17,7680
2018-09-18,8892
2018-09-19,8040
2018-09-20,8784
2018-09-21,9108
2018-09-22,9438
2018-09-23,6420
2018-09-24,8700
2018-09-25,9228
2018-09-26,8364
2018-09-27,7800
2018-09-28,7278
2018-09-29,7224
2018-09-30,7734
2018-10-01,9456
2018-10-02,9036
2018-10-03,8592
2018-10-04,10188
2018-10-05,8964
2018-10-06,7764
2018-10-07,7518
2018-10-08,9990
2018-10-09,9870
2018-10-10,7896
2018-10-11,7302
2018-10-12,7506
2018-10-13,9318
2018-10-14,8124
2018-10-15,7194
2018-10-16,9300
2018-10-17,9834
2018-10-18,8874
2018-10-19,6852
2018-10-20,6816
2018-10-21,8832
2018-10-22,7968
2018-10-23,9468
2018-10-24,7074
2018-10-25,7512
2018-10-26,7092
2018-10-27,8766
2018-10-28,7710
2018-10-29,7662
2018-10-30,7164
2018-10-31,8502
2018-11-01,9174
2018-11-02,10140
2018-11-03,7806
2018-11-04,9168
2018-11-05,7752
2018-11-06,9132
2018-11-07,7638
2018-11-08,7188
2018-11-09,7722
2018-11-10,9150
2018-11-11,8880
2018-11-12,7614
2018-11-13,8322
2018-11-14,7614
2018-11-15,7146
2018-11-16,6558
2018-11-17,6882
2018-11-18,8610
2018-11-19,9120
2018-11-20,7200
2018-11-21,8034
2018-11-22,9060
2018-11-23,6690
2018-11-24,7812
2018-11-25,7740
2018-11-26,8046
2018-11-27,6810
2018-11-28,8598
2018-11-29,7716
2018-11-30,7518
2018-12-01,9678
2018-12-02,7812
2018-12-03,9486
2018-12-04,7896
2018-12-05,8076
2018-12-06,8220
2018-12-07,8268
2018-12-08,8292
2018-12-09,6024
2018-12-10,8616
2018-12-11,6942
2018-12-12,6516
2018-12-13,8010
2018-12-14,6552
2018-12-15,6102
2018-12-16,5850
2018-12-17,8532
2018-12-18,8238
2018-12-19,8982
2018-12-20,7620
2018-12-21,5844
2018-12-22,5904
2018-12-23,6684
2018-12-24,7392
2018-12-25,7008
2018-12-26,6744
2018-12-27,8316
2018-12-28,8652
2018-12-29,6006
2018-12-30,6120
2018-12-31,6318
2019-01-01,8382
2019-01-02,9672
2019-01-03,7404
2019-01-04,9240
2019-01-05,7746
2019-01-06,7266
2019-01-07,6798
2019-01-08,8952
2019-01-09,8934
2019-01-10,8454
2019-01-11,8544
2019-01-12,7824
2019-01-13,7002
2019-01-14,8118
2019-01-15,7152
2019-01-16,9240
2019-01-17,7332
2019-01-18,7254
2019-01-19,8166
2019-01-20,7440
2019-01-21,8430
2019-01-22,8196
2019-01-23,8850
2019-01-24,6258
2019-01-25,7284
2019-01-26,5760
2019-01-27,7512
2019-01-28,8994
2019-01-29,8532
2019-01-30,6354
2019-01-31,6276
2019-02-01,8292
2019-02-02,7512
2019-02-03,9012
2019-02-04,10710
2019-02-05,9204
2019-02-06,8994
2019-02-07,9984
2019-02-08,8226
2019-02-09,6924
2019-02-10,7566
2019-02-11,7656
2019-02-12,8508
2019-02-13,7302
2019-02-14,7086
2019-02-15,7002
2019-02-16,9036
2019-02-17,6126
2019-02-18,7764
2019-02-19,7638
2019-02-20,6972
2019-02-21,9480
2019-02-22,9318
2019-02-23,9042
2019-02-24,6384
2019-02-25,9324
2019-02-26,8568
2019-02-27,9522
2019-02-28,6762
2019-03-01,10608
2019-03-02,10620
2019-03-03,10026
2019-03-04,9906
2019-03-05,9312
2019-03-06,8112
2019-03-07,9684
2019-03-08,9018
2019-03-09,8826
2019-03-10,7254
2019-03-11,8394
2019-03-12,9348
2019-03-13,10536
2019-03-14,9120
2019-03-15,7944
2019-03-16,9906
2019-03-17,8616
2019-03-18,7608
2019-03-19,9768
2019-03-20,10080
2019-03-21,9660
2019-03-22,8742
2019-03-23,7386
2019-03-24,9294
2019-03-25,8724
2019-03-26,10008
2019-03-27,7446
2019-03-28,9996
2019-03-29,8076
2019-03-30,7356
2019-03-31,7134
2019-04-01,11850
2019-04-02,10920
2019-04-03,11328
2019-04-04,10260
2019-04-05,9444
2019-04-06,9900
2019-04-07,8034
2019-04-08,9786
2019-04-09,10050
2019-04-10,10638
2019-04-11,9036
2019-04-12,8256
2019-04-13,9264
2019-04-14,7188
2019-04-15,10746
2019-04-16,8286
2019-04-17,9072
2019-04-18,9522
2019-04-19,9312
2019-04-20,10008
2019-04-21,9588
2019-04-22,8058
2019-04-23,10218
2019-04-24,10692
2019-04-25,8862
2019-04-26,8532
2019-04-27,8670
2019-04-28,7314
2019-04-29,9192
2019-04-30,10296
2019-05-01,10494
2019-05-02,9606
2019-05-03,11742
2019-05-04,11334
2019-05-05,10044
2019-05-06,10464
2019-05-07,10944
2019-05-08,10368
2019-05-09,9648
2019-05-10,10638
2019-05-11,8454
2019-05-12,8040
2019-05-13,10698
2019-05-14,9480
2019-05-15,9528
2019-05-16,10866
2019-05-17,8790
2019-05-18,10524
2019-05-19,8316
2019-05-20,9102
2019-05-21,8664
2019-05-22,9480
2019-05-23,8544
2019-05-24,8814
2019-05-25,9846
2019-05-26,9882
2019-05-27,8790
